'sample interval','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
5670,0.061,-0.076,-0.137,0.007,0.100,-0.106,0.106,0.147,0.482,0.400,0.450,0.401,0.147,-0.413,-0.095
5671,0.058,-0.079,-0.136,0.011,0.097,-0.107,0.108,0.148,0.482,0.400,0.448,0.403,0.148,-0.413,-0.093
5672,0.052,-0.086,-0.139,0.017,0.096,-0.112,0.108,0.148,0.484,0.401,0.450,0.406,0.147,-0.415,-0.090
5673,0.053,-0.093,-0.145,0.020,0.099,-0.119,0.105,0.149,0.487,0.404,0.452,0.405,0.147,-0.418,-0.091
5674,0.051,-0.099,-0.148,0.024,0.100,-0.123,0.110,0.152,0.485,0.402,0.451,0.403,0.145,-0.421,-0.091
5675,0.050,-0.097,-0.146,0.023,0.098,-0.121,0.111,0.148,0.484,0.399,0.450,0.404,0.147,-0.418,-0.090
5676,0.053,-0.091,-0.143,0.019,0.099,-0.117,0.104,0.145,0.484,0.400,0.448,0.403,0.147,-0.416,-0.091
5677,0.053,-0.089,-0.141,0.018,0.098,-0.116,0.104,0.148,0.481,0.399,0.447,0.402,0.146,-0.416,-0.090
5678,0.050,-0.100,-0.149,0.025,0.100,-0.124,0.113,0.151,0.484,0.401,0.448,0.403,0.144,-0.419,-0.089
5679,0.051,-0.103,-0.153,0.026,0.102,-0.128,0.113,0.150,0.483,0.401,0.448,0.402,0.142,-0.422,-0.089
5680,0.052,-0.100,-0.151,0.023,0.102,-0.126,0.110,0.147,0.481,0.399,0.444,0.403,0.145,-0.420,-0.088
5681,0.054,-0.098,-0.151,0.021,0.102,-0.124,0.110,0.148,0.482,0.398,0.444,0.402,0.143,-0.419,-0.090
5682,0.053,-0.093,-0.146,0.020,0.100,-0.120,0.108,0.146,0.481,0.398,0.445,0.402,0.142,-0.419,-0.091
5683,0.053,-0.089,-0.141,0.018,0.097,-0.115,0.104,0.141,0.476,0.394,0.444,0.401,0.141,-0.419,-0.090
5684,0.052,-0.085,-0.137,0.016,0.095,-0.111,0.103,0.137,0.475,0.391,0.442,0.397,0.141,-0.416,-0.091
5685,0.051,-0.086,-0.136,0.018,0.093,-0.111,0.110,0.144,0.482,0.398,0.446,0.403,0.141,-0.412,-0.092
5686,0.051,-0.090,-0.141,0.019,0.097,-0.116,0.106,0.146,0.479,0.395,0.447,0.405,0.141,-0.420,-0.091
5687,0.052,-0.090,-0.141,0.018,0.097,-0.116,0.103,0.143,0.478,0.392,0.445,0.403,0.142,-0.421,-0.091
5688,0.056,-0.077,-0.133,0.011,0.095,-0.105,0.103,0.144,0.480,0.394,0.446,0.404,0.143,-0.411,-0.092
5689,0.053,-0.074,-0.127,0.010,0.090,-0.101,0.096,0.141,0.477,0.392,0.444,0.404,0.145,-0.411,-0.091
5690,0.052,-0.075,-0.127,0.011,0.089,-0.101,0.100,0.141,0.478,0.391,0.444,0.405,0.146,-0.411,-0.090
5691,0.057,-0.076,-0.132,0.010,0.095,-0.104,0.105,0.142,0.477,0.391,0.444,0.406,0.144,-0.411,-0.091
5692,0.055,-0.084,-0.138,0.014,0.097,-0.111,0.103,0.142,0.479,0.392,0.444,0.407,0.143,-0.418,-0.090
5693,0.055,-0.091,-0.145,0.018,0.101,-0.118,0.103,0.144,0.480,0.392,0.447,0.407,0.143,-0.423,-0.089
5694,0.052,-0.096,-0.147,0.021,0.101,-0.122,0.105,0.145,0.480,0.394,0.448,0.407,0.143,-0.423,-0.089
5695,0.053,-0.093,-0.145,0.019,0.100,-0.119,0.103,0.145,0.480,0.394,0.449,0.406,0.145,-0.420,-0.089
5696,0.049,-0.093,-0.141,0.022,0.096,-0.117,0.104,0.144,0.481,0.395,0.450,0.408,0.146,-0.420,-0.088
5697,0.050,-0.093,-0.142,0.021,0.097,-0.118,0.105,0.142,0.481,0.395,0.450,0.408,0.145,-0.421,-0.089
5698,0.060,-0.101,-0.161,0.019,0.111,-0.131,0.100,0.141,0.478,0.391,0.447,0.406,0.144,-0.428,-0.087
5699,0.059,-0.105,-0.164,0.022,0.112,-0.135,0.101,0.144,0.480,0.393,0.449,0.407,0.144,-0.429,-0.085
5700,0.054,-0.103,-0.157,0.024,0.106,-0.130,0.105,0.146,0.481,0.396,0.450,0.406,0.142,-0.425,-0.087
5701,0.053,-0.103,-0.156,0.025,0.104,-0.130,0.105,0.144,0.480,0.395,0.449,0.407,0.143,-0.426,-0.087
5702,0.054,-0.098,-0.152,0.021,0.103,-0.125,0.102,0.141,0.480,0.395,0.450,0.408,0.145,-0.422,-0.087
5703,0.056,-0.093,-0.148,0.018,0.102,-0.120,0.104,0.139,0.478,0.392,0.447,0.406,0.146,-0.421,-0.087
5704,0.060,-0.087,-0.147,0.013,0.104,-0.117,0.102,0.138,0.475,0.389,0.444,0.403,0.145,-0.418,-0.087
5705,0.061,-0.088,-0.149,0.013,0.106,-0.119,0.101,0.136,0.474,0.389,0.444,0.403,0.143,-0.417,-0.086
5706,0.058,-0.094,-0.151,0.018,0.104,-0.122,0.107,0.142,0.480,0.394,0.449,0.405,0.143,-0.418,-0.086
5707,0.053,-0.090,-0.142,0.018,0.098,-0.117,0.106,0.141,0.480,0.395,0.450,0.406,0.143,-0.416,-0.086
5708,0.051,-0.082,-0.133,0.015,0.092,-0.107,0.103,0.137,0.477,0.391,0.449,0.406,0.143,-0.414,-0.087
5709,0.053,-0.077,-0.130,0.011,0.092,-0.103,0.104,0.138,0.476,0.391,0.448,0.405,0.142,-0.411,-0.089
5710,0.051,-0.082,-0.132,0.015,0.091,-0.106,0.104,0.134,0.474,0.389,0.446,0.404,0.141,-0.414,-0.087
5711,0.050,-0.085,-0.134,0.017,0.092,-0.109,0.101,0.135,0.475,0.391,0.447,0.406,0.144,-0.418,-0.087
5712,0.050,-0.086,-0.135,0.018,0.092,-0.110,0.105,0.140,0.479,0.394,0.448,0.406,0.146,-0.414,-0.088
5713,0.046,-0.095,-0.141,0.024,0.093,-0.117,0.107,0.139,0.479,0.395,0.448,0.405,0.138,-0.419,-0.089
5714,0.049,-0.099,-0.147,0.025,0.098,-0.123,0.105,0.139,0.479,0.393,0.449,0.404,0.138,-0.423,-0.087
5715,0.053,-0.097,-0.149,0.021,0.101,-0.123,0.104,0.139,0.476,0.389,0.445,0.402,0.140,-0.421,-0.085
5716,0.050,-0.093,-0.143,0.022,0.097,-0.118,0.099,0.135,0.472,0.385,0.443,0.402,0.135,-0.422,-0.085
5717,0.049,-0.094,-0.142,0.022,0.096,-0.118,0.104,0.136,0.474,0.385,0.440,0.402,0.136,-0.422,-0.086
5718,0.056,-0.103,-0.158,0.024,0.107,-0.131,0.110,0.137,0.473,0.387,0.440,0.400,0.136,-0.427,-0.086
5719,0.058,-0.107,-0.164,0.024,0.112,-0.136,0.103,0.138,0.472,0.385,0.439,0.399,0.135,-0.431,-0.085
5720,0.055,-0.105,-0.160,0.025,0.107,-0.132,0.103,0.136,0.475,0.385,0.438,0.398,0.135,-0.431,-0.086
5721,0.049,-0.103,-0.151,0.026,0.101,-0.128,0.108,0.137,0.476,0.388,0.440,0.398,0.133,-0.429,-0.086
5722,0.045,-0.100,-0.145,0.027,0.096,-0.123,0.104,0.139,0.476,0.388,0.440,0.400,0.135,-0.424,-0.086
5723,0.051,-0.096,-0.147,0.022,0.100,-0.121,0.099,0.134,0.471,0.385,0.438,0.397,0.135,-0.425,-0.086
5724,0.058,-0.089,-0.146,0.015,0.102,-0.117,0.095,0.132,0.469,0.382,0.436,0.396,0.136,-0.424,-0.086
5725,0.055,-0.092,-0.146,0.018,0.101,-0.119,0.098,0.131,0.469,0.382,0.436,0.396,0.136,-0.420,-0.086
5726,0.047,-0.102,-0.148,0.027,0.098,-0.125,0.105,0.133,0.469,0.385,0.440,0.398,0.134,-0.421,-0.086
5727,0.048,-0.097,-0.144,0.025,0.096,-0.121,0.104,0.136,0.471,0.386,0.440,0.399,0.134,-0.421,-0.086
5728,0.052,-0.086,-0.137,0.017,0.095,-0.111,0.101,0.131,0.468,0.384,0.439,0.397,0.135,-0.416,-0.087
5729,0.048,-0.079,-0.126,0.015,0.086,-0.102,0.095,0.128,0.468,0.383,0.438,0.394,0.138,-0.413,-0.087
5730,0.045,-0.079,-0.123,0.017,0.085,-0.102,0.097,0.128,0.469,0.383,0.436,0.393,0.139,-0.414,-0.086
5731,0.051,-0.081,-0.131,0.015,0.091,-0.106,0.100,0.129,0.468,0.381,0.438,0.394,0.135,-0.413,-0.088
5732,0.050,-0.084,-0.133,0.017,0.091,-0.108,0.100,0.130,0.468,0.380,0.439,0.393,0.130,-0.413,-0.089
5733,0.045,-0.093,-0.139,0.024,0.092,-0.116,0.100,0.133,0.471,0.382,0.439,0.396,0.134,-0.418,-0.088
5734,0.043,-0.098,-0.141,0.027,0.092,-0.119,0.102,0.136,0.472,0.385,0.440,0.398,0.136,-0.417,-0.085
5735,0.045,-0.097,-0.141,0.025,0.093,-0.119,0.099,0.131,0.469,0.383,0.437,0.394,0.136,-0.418,-0.084
5736,0.051,-0.094,-0.144,0.021,0.098,-0.119,0.091,0.130,0.469,0.382,0.436,0.394,0.136,-0.417,-0.086
5737,0.050,-0.092,-0.141,0.021,0.096,-0.117,0.100,0.133,0.470,0.384,0.439,0.397,0.135,-0.415,-0.086
5738,0.046,-0.102,-0.149,0.028,0.098,-0.126,0.106,0.135,0.470,0.384,0.439,0.395,0.135,-0.423,-0.084
5739,0.043,-0.110,-0.152,0.033,0.098,-0.131,0.105,0.137,0.471,0.386,0.440,0.396,0.133,-0.423,-0.084
5740,0.043,-0.105,-0.147,0.031,0.096,-0.127,0.104,0.136,0.470,0.387,0.441,0.398,0.136,-0.423,-0.084
5741,0.041,-0.106,-0.146,0.033,0.093,-0.126,0.102,0.136,0.471,0.386,0.441,0.398,0.137,-0.425,-0.084
5742,0.043,-0.098,-0.140,0.027,0.091,-0.119,0.105,0.136,0.472,0.385,0.442,0.398,0.133,-0.421,-0.086
5743,0.051,-0.088,-0.139,0.018,0.096,-0.114,0.102,0.132,0.469,0.381,0.440,0.396,0.134,-0.419,-0.087
5744,0.054,-0.085,-0.138,0.015,0.096,-0.111,0.101,0.131,0.469,0.380,0.439,0.394,0.137,-0.417,-0.088
5745,0.051,-0.086,-0.137,0.017,0.095,-0.112,0.101,0.130,0.468,0.381,0.438,0.394,0.137,-0.414,-0.086
5746,0.045,-0.096,-0.141,0.025,0.093,-0.118,0.101,0.132,0.469,0.380,0.438,0.393,0.134,-0.417,-0.084
5747,0.044,-0.093,-0.137,0.024,0.091,-0.115,0.102,0.134,0.469,0.382,0.440,0.396,0.135,-0.415,-0.084
5748,0.051,-0.080,-0.130,0.013,0.091,-0.104,0.098,0.131,0.467,0.379,0.438,0.394,0.137,-0.410,-0.086
5749,0.053,-0.077,-0.131,0.011,0.092,-0.103,0.096,0.125,0.463,0.374,0.439,0.393,0.137,-0.408,-0.087
5750,0.056,-0.076,-0.131,0.010,0.093,-0.103,0.096,0.121,0.459,0.374,0.438,0.394,0.137,-0.407,-0.086
5751,0.057,-0.077,-0.133,0.010,0.095,-0.105,0.097,0.126,0.465,0.376,0.439,0.396,0.139,-0.411,-0.085
5752,0.053,-0.083,-0.136,0.014,0.095,-0.108,0.100,0.131,0.469,0.380,0.442,0.398,0.138,-0.414,-0.084
5753,0.052,-0.087,-0.140,0.018,0.096,-0.114,0.102,0.131,0.469,0.380,0.441,0.397,0.136,-0.412,-0.084
5754,0.049,-0.095,-0.143,0.023,0.097,-0.119,0.102,0.132,0.469,0.382,0.442,0.399,0.135,-0.415,-0.083
5755,0.048,-0.095,-0.142,0.024,0.096,-0.118,0.100,0.130,0.467,0.382,0.441,0.396,0.134,-0.419,-0.084
5756,0.048,-0.092,-0.140,0.022,0.093,-0.116,0.099,0.129,0.472,0.384,0.440,0.397,0.138,-0.418,-0.084
5757,0.046,-0.095,-0.141,0.024,0.094,-0.118,0.101,0.130,0.468,0.382,0.439,0.399,0.135,-0.418,-0.083
5758,0.046,-0.102,-0.148,0.028,0.098,-0.126,0.102,0.131,0.463,0.377,0.437,0.399,0.129,-0.421,-0.082
5759,0.044,-0.106,-0.150,0.030,0.098,-0.128,0.102,0.133,0.469,0.380,0.440,0.401,0.131,-0.424,-0.082
5760,0.043,-0.107,-0.150,0.032,0.097,-0.129,0.104,0.132,0.467,0.381,0.439,0.398,0.132,-0.423,-0.082
5761,0.046,-0.105,-0.151,0.029,0.100,-0.129,0.103,0.130,0.468,0.381,0.437,0.397,0.131,-0.422,-0.082
5762,0.051,-0.097,-0.147,0.024,0.099,-0.122,0.102,0.127,0.465,0.377,0.435,0.396,0.130,-0.419,-0.083
5763,0.049,-0.089,-0.138,0.020,0.093,-0.114,0.102,0.128,0.465,0.376,0.436,0.396,0.129,-0.413,-0.086
5764,0.048,-0.084,-0.132,0.018,0.090,-0.107,0.098,0.126,0.464,0.375,0.435,0.396,0.129,-0.412,-0.085
5765,0.050,-0.081,-0.130,0.015,0.090,-0.105,0.099,0.125,0.462,0.376,0.435,0.396,0.131,-0.413,-0.085
5766,0.051,-0.089,-0.140,0.018,0.096,-0.115,0.101,0.129,0.464,0.377,0.435,0.397,0.131,-0.417,-0.084
5767,0.050,-0.092,-0.141,0.021,0.096,-0.117,0.102,0.127,0.463,0.373,0.432,0.393,0.128,-0.416,-0.084
5768,0.048,-0.080,-0.127,0.015,0.087,-0.103,0.098,0.127,0.462,0.373,0.434,0.393,0.127,-0.408,-0.087
5769,0.045,-0.075,-0.120,0.015,0.084,-0.098,0.099,0.126,0.461,0.373,0.434,0.393,0.127,-0.406,-0.086
5770,0.044,-0.076,-0.120,0.015,0.083,-0.098,0.101,0.124,0.462,0.373,0.434,0.394,0.126,-0.407,-0.088
5771,0.051,-0.080,-0.130,0.014,0.090,-0.104,0.095,0.123,0.461,0.370,0.432,0.392,0.127,-0.408,-0.086
5772,0.047,-0.085,-0.132,0.018,0.089,-0.108,0.100,0.127,0.461,0.371,0.433,0.392,0.125,-0.409,-0.085
5773,0.044,-0.092,-0.136,0.024,0.090,-0.114,0.102,0.127,0.461,0.375,0.434,0.392,0.124,-0.416,-0.086
5774,0.048,-0.096,-0.142,0.024,0.095,-0.119,0.096,0.127,0.462,0.377,0.434,0.392,0.126,-0.422,-0.083
5775,0.050,-0.091,-0.140,0.021,0.095,-0.116,0.104,0.130,0.465,0.378,0.437,0.393,0.126,-0.420,-0.086
5776,0.054,-0.086,-0.141,0.016,0.098,-0.114,0.105,0.129,0.463,0.377,0.436,0.392,0.129,-0.418,-0.086
5777,0.051,-0.089,-0.140,0.018,0.096,-0.115,0.102,0.128,0.462,0.374,0.435,0.392,0.128,-0.416,-0.084
5778,0.043,-0.097,-0.140,0.026,0.091,-0.118,0.111,0.129,0.467,0.380,0.437,0.393,0.128,-0.417,-0.083
5779,0.048,-0.100,-0.147,0.026,0.098,-0.123,0.104,0.129,0.465,0.380,0.435,0.390,0.125,-0.422,-0.082
5780,0.050,-0.099,-0.147,0.024,0.099,-0.123,0.104,0.130,0.461,0.374,0.432,0.388,0.121,-0.419,-0.085
5781,0.048,-0.095,-0.142,0.024,0.096,-0.118,0.104,0.127,0.464,0.378,0.433,0.390,0.126,-0.419,-0.085
5782,0.051,-0.093,-0.144,0.021,0.098,-0.118,0.096,0.121,0.457,0.373,0.431,0.388,0.125,-0.422,-0.085
5783,0.047,-0.083,-0.130,0.018,0.088,-0.106,0.100,0.124,0.458,0.374,0.433,0.390,0.127,-0.410,-0.086
5784,0.047,-0.076,-0.123,0.015,0.086,-0.100,0.102,0.123,0.461,0.375,0.433,0.390,0.126,-0.409,-0.086
5785,0.050,-0.077,-0.127,0.013,0.088,-0.102,0.100,0.120,0.456,0.371,0.430,0.387,0.125,-0.414,-0.085
5786,0.051,-0.083,-0.133,0.015,0.091,-0.107,0.102,0.124,0.460,0.374,0.432,0.387,0.125,-0.416,-0.085
5787,0.052,-0.085,-0.137,0.016,0.095,-0.111,0.102,0.124,0.460,0.372,0.431,0.387,0.125,-0.414,-0.084
5788,0.057,-0.069,-0.126,0.006,0.091,-0.097,0.096,0.115,0.455,0.367,0.428,0.387,0.130,-0.406,-0.086
5789,0.057,-0.064,-0.120,0.004,0.088,-0.092,0.095,0.118,0.456,0.368,0.431,0.388,0.128,-0.402,-0.087
5790,0.054,-0.063,-0.117,0.004,0.086,-0.090,0.098,0.121,0.458,0.369,0.433,0.390,0.127,-0.400,-0.086
5791,0.053,-0.068,-0.121,0.007,0.087,-0.095,0.096,0.117,0.455,0.368,0.431,0.388,0.127,-0.405,-0.086
5792,0.054,-0.075,-0.129,0.011,0.091,-0.102,0.096,0.122,0.457,0.370,0.431,0.388,0.127,-0.405,-0.086
5793,0.054,-0.077,-0.132,0.011,0.093,-0.104,0.097,0.124,0.460,0.370,0.433,0.390,0.128,-0.407,-0.085
5794,0.050,-0.084,-0.133,0.017,0.091,-0.108,0.099,0.124,0.460,0.372,0.433,0.391,0.129,-0.412,-0.084
5795,0.051,-0.083,-0.134,0.015,0.092,-0.107,0.098,0.124,0.458,0.371,0.431,0.390,0.127,-0.410,-0.085
5796,0.054,-0.080,-0.134,0.013,0.094,-0.106,0.099,0.123,0.459,0.369,0.431,0.390,0.128,-0.409,-0.084
5797,0.054,-0.080,-0.134,0.012,0.094,-0.106,0.100,0.125,0.460,0.370,0.433,0.392,0.128,-0.411,-0.083
5798,0.055,-0.089,-0.144,0.017,0.100,-0.117,0.101,0.123,0.459,0.369,0.431,0.389,0.129,-0.418,-0.083
5799,0.053,-0.091,-0.144,0.019,0.100,-0.118,0.103,0.126,0.461,0.372,0.432,0.391,0.132,-0.420,-0.081
5800,0.053,-0.089,-0.142,0.018,0.098,-0.116,0.103,0.125,0.461,0.371,0.432,0.392,0.127,-0.417,-0.082
5801,0.053,-0.088,-0.141,0.017,0.098,-0.115,0.102,0.123,0.457,0.367,0.429,0.390,0.124,-0.414,-0.082
5802,0.053,-0.082,-0.135,0.014,0.094,-0.108,0.101,0.124,0.458,0.368,0.430,0.391,0.125,-0.409,-0.082
5803,0.047,-0.077,-0.123,0.015,0.086,-0.100,0.103,0.123,0.458,0.369,0.430,0.391,0.124,-0.408,-0.084
5804,0.044,-0.072,-0.116,0.014,0.080,-0.094,0.103,0.123,0.457,0.368,0.430,0.391,0.127,-0.407,-0.082
5805,0.048,-0.071,-0.119,0.011,0.084,-0.095,0.102,0.122,0.459,0.368,0.432,0.392,0.129,-0.403,-0.083
5806,0.044,-0.077,-0.121,0.017,0.083,-0.099,0.103,0.123,0.459,0.369,0.432,0.394,0.128,-0.406,-0.083
5807,0.044,-0.083,-0.126,0.019,0.085,-0.104,0.102,0.121,0.460,0.368,0.431,0.393,0.125,-0.414,-0.081
5808,0.050,-0.070,-0.119,0.009,0.085,-0.095,0.100,0.118,0.456,0.366,0.429,0.390,0.126,-0.406,-0.084
5809,0.051,-0.060,-0.111,0.005,0.081,-0.086,0.096,0.122,0.455,0.364,0.428,0.391,0.128,-0.400,-0.085
5810,0.051,-0.061,-0.112,0.004,0.082,-0.086,0.098,0.119,0.456,0.363,0.428,0.390,0.128,-0.399,-0.084
5811,0.054,-0.063,-0.117,0.004,0.086,-0.090,0.097,0.117,0.457,0.365,0.427,0.390,0.128,-0.402,-0.086
5812,0.053,-0.071,-0.124,0.009,0.089,-0.098,0.097,0.117,0.454,0.364,0.427,0.390,0.126,-0.408,-0.085
5813,0.050,-0.077,-0.127,0.013,0.088,-0.102,0.099,0.118,0.453,0.363,0.427,0.388,0.125,-0.411,-0.084
5814,0.050,-0.085,-0.134,0.017,0.092,-0.109,0.099,0.121,0.459,0.367,0.430,0.392,0.126,-0.414,-0.083
5815,0.051,-0.084,-0.135,0.016,0.093,-0.110,0.101,0.119,0.457,0.366,0.429,0.390,0.126,-0.413,-0.084
5816,0.052,-0.079,-0.131,0.013,0.091,-0.104,0.102,0.124,0.459,0.367,0.430,0.392,0.129,-0.412,-0.084
5817,0.053,-0.078,-0.131,0.012,0.092,-0.104,0.102,0.123,0.461,0.368,0.430,0.391,0.128,-0.412,-0.084
5818,0.052,-0.087,-0.139,0.018,0.096,-0.114,0.106,0.125,0.462,0.370,0.432,0.391,0.123,-0.415,-0.085
5819,0.053,-0.091,-0.144,0.018,0.099,-0.117,0.106,0.129,0.465,0.374,0.435,0.397,0.127,-0.417,-0.084
5820,0.054,-0.086,-0.141,0.016,0.098,-0.114,0.103,0.130,0.462,0.373,0.432,0.394,0.126,-0.413,-0.085
5821,0.056,-0.082,-0.137,0.013,0.097,-0.110,0.105,0.130,0.466,0.376,0.436,0.398,0.129,-0.410,-0.087
5822,0.054,-0.077,-0.131,0.011,0.093,-0.104,0.109,0.129,0.467,0.377,0.439,0.401,0.130,-0.408,-0.088
5823,0.052,-0.072,-0.123,0.010,0.088,-0.098,0.108,0.131,0.467,0.375,0.438,0.399,0.128,-0.405,-0.088
5824,0.057,-0.065,-0.121,0.004,0.089,-0.093,0.105,0.130,0.468,0.376,0.436,0.399,0.130,-0.402,-0.088
5825,0.060,-0.061,-0.120,0.001,0.090,-0.091,0.107,0.133,0.467,0.377,0.438,0.400,0.128,-0.402,-0.088
5826,0.060,-0.061,-0.121,0.001,0.091,-0.091,0.110,0.135,0.469,0.378,0.441,0.403,0.130,-0.399,-0.089
5827,0.060,-0.067,-0.127,0.003,0.094,-0.097,0.111,0.136,0.471,0.379,0.442,0.403,0.130,-0.401,-0.089
5828,0.066,-0.053,-0.118,-0.006,0.092,-0.086,0.111,0.137,0.471,0.379,0.441,0.402,0.129,-0.395,-0.093
5829,0.070,-0.041,-0.111,-0.015,0.091,-0.075,0.112,0.137,0.471,0.382,0.441,0.402,0.130,-0.384,-0.098
5830,0.067,-0.040,-0.105,-0.014,0.086,-0.072,0.116,0.141,0.475,0.385,0.443,0.404,0.132,-0.380,-0.098
5831,0.061,-0.037,-0.098,-0.013,0.080,-0.068,0.118,0.145,0.480,0.386,0.446,0.408,0.134,-0.373,-0.098
5832,0.058,-0.043,-0.100,-0.008,0.079,-0.071,0.129,0.150,0.483,0.388,0.447,0.406,0.128,-0.372,-0.102
5833,0.057,-0.044,-0.100,-0.006,0.078,-0.071,0.131,0.155,0.486,0.393,0.449,0.408,0.129,-0.372,-0.102
5834,0.058,-0.047,-0.104,-0.006,0.082,-0.075,0.131,0.158,0.489,0.394,0.453,0.412,0.132,-0.371,-0.102
5835,0.060,-0.047,-0.106,-0.007,0.084,-0.076,0.136,0.158,0.491,0.394,0.450,0.411,0.131,-0.370,-0.103
5836,0.058,-0.042,-0.099,-0.008,0.079,-0.070,0.138,0.156,0.489,0.393,0.449,0.411,0.131,-0.369,-0.104
5837,0.058,-0.040,-0.096,-0.009,0.077,-0.068,0.141,0.163,0.491,0.394,0.453,0.413,0.132,-0.368,-0.106
5838,0.057,-0.047,-0.102,-0.005,0.080,-0.074,0.143,0.165,0.494,0.398,0.456,0.413,0.130,-0.371,-0.105
5839,0.058,-0.050,-0.106,-0.004,0.083,-0.078,0.144,0.165,0.495,0.399,0.457,0.414,0.130,-0.371,-0.104
5840,0.064,-0.042,-0.104,-0.011,0.084,-0.073,0.145,0.168,0.497,0.399,0.455,0.418,0.133,-0.365,-0.105
5841,0.062,-0.037,-0.099,-0.013,0.081,-0.068,0.149,0.171,0.496,0.401,0.456,0.417,0.132,-0.364,-0.108
5842,0.064,-0.029,-0.092,-0.018,0.079,-0.061,0.149,0.172,0.499,0.402,0.455,0.415,0.130,-0.359,-0.111
5843,0.065,-0.021,-0.085,-0.022,0.075,-0.052,0.149,0.172,0.499,0.402,0.456,0.416,0.133,-0.349,-0.113
5844,0.063,-0.018,-0.080,-0.023,0.071,-0.049,0.150,0.172,0.500,0.405,0.459,0.417,0.133,-0.345,-0.114
5845,0.066,-0.017,-0.082,-0.025,0.074,-0.049,0.148,0.172,0.500,0.406,0.459,0.418,0.132,-0.346,-0.114
5846,0.068,-0.017,-0.084,-0.025,0.076,-0.050,0.150,0.174,0.502,0.405,0.460,0.418,0.132,-0.345,-0.115
5847,0.068,-0.022,-0.089,-0.023,0.079,-0.056,0.149,0.174,0.503,0.406,0.459,0.418,0.132,-0.355,-0.113
5848,0.065,-0.015,-0.079,-0.025,0.071,-0.046,0.149,0.172,0.500,0.402,0.457,0.416,0.130,-0.349,-0.115
5849,0.065,-0.003,-0.067,-0.032,0.066,-0.035,0.148,0.171,0.497,0.402,0.456,0.413,0.131,-0.339,-0.115
5850,0.070,-0.002,-0.071,-0.035,0.071,-0.036,0.144,0.170,0.497,0.402,0.457,0.415,0.132,-0.338,-0.114
5851,0.068,-0.001,-0.068,-0.034,0.068,-0.035,0.145,0.174,0.502,0.404,0.458,0.419,0.132,-0.335,-0.114
5852,0.066,-0.007,-0.072,-0.029,0.069,-0.040,0.146,0.173,0.502,0.405,0.459,0.420,0.132,-0.341,-0.112
5853,0.065,-0.017,-0.081,-0.025,0.073,-0.048,0.145,0.171,0.499,0.404,0.459,0.419,0.132,-0.346,-0.110
5854,0.066,-0.018,-0.083,-0.024,0.074,-0.051,0.146,0.172,0.500,0.405,0.461,0.421,0.130,-0.349,-0.109
5855,0.070,-0.013,-0.082,-0.029,0.076,-0.047,0.148,0.173,0.501,0.405,0.464,0.422,0.130,-0.345,-0.109
5856,0.071,-0.008,-0.079,-0.032,0.075,-0.043,0.146,0.173,0.505,0.410,0.465,0.424,0.133,-0.339,-0.110
5857,0.070,-0.005,-0.075,-0.033,0.073,-0.041,0.146,0.173,0.504,0.409,0.466,0.427,0.133,-0.338,-0.110
5858,0.067,-0.011,-0.078,-0.029,0.073,-0.044,0.147,0.177,0.503,0.407,0.467,0.428,0.134,-0.335,-0.107
5859,0.070,-0.011,-0.080,-0.029,0.075,-0.045,0.146,0.181,0.511,0.415,0.470,0.432,0.136,-0.336,-0.110
5860,0.075,0.004,-0.071,-0.040,0.073,-0.034,0.152,0.189,0.519,0.423,0.477,0.438,0.136,-0.328,-0.114
5861,0.077,0.011,-0.066,-0.044,0.072,-0.028,0.157,0.189,0.518,0.427,0.479,0.441,0.137,-0.314,-0.116
5862,0.078,0.016,-0.061,-0.048,0.070,-0.022,0.150,0.184,0.517,0.425,0.479,0.441,0.138,-0.308,-0.115
5863,0.082,0.026,-0.055,-0.054,0.069,-0.015,0.151,0.187,0.520,0.425,0.484,0.443,0.141,-0.306,-0.117
5864,0.088,0.034,-0.054,-0.061,0.071,-0.011,0.152,0.184,0.518,0.427,0.484,0.444,0.148,-0.303,-0.115
5865,0.094,0.035,-0.058,-0.065,0.076,-0.011,0.146,0.184,0.519,0.427,0.485,0.446,0.153,-0.299,-0.111
5866,0.095,0.036,-0.058,-0.066,0.076,-0.011,0.148,0.186,0.522,0.430,0.487,0.447,0.143,-0.297,-0.114
5867,0.095,0.038,-0.056,-0.067,0.076,-0.009,0.148,0.185,0.523,0.430,0.490,0.449,0.140,-0.292,-0.114
5868,0.100,0.047,-0.052,-0.073,0.076,-0.003,0.143,0.185,0.524,0.431,0.492,0.452,0.146,-0.290,-0.112
5869,0.102,0.058,-0.043,-0.081,0.072,0.007,0.137,0.181,0.523,0.431,0.491,0.451,0.150,-0.281,-0.112
5870,0.102,0.062,-0.040,-0.083,0.071,0.011,0.134,0.181,0.524,0.432,0.491,0.453,0.152,-0.274,-0.111
5871,0.105,0.063,-0.042,-0.085,0.074,0.011,0.133,0.183,0.527,0.436,0.493,0.455,0.152,-0.278,-0.113
5872,0.117,0.061,-0.055,-0.089,0.086,0.003,0.125,0.178,0.522,0.435,0.493,0.457,0.157,-0.283,-0.111
5873,0.122,0.054,-0.067,-0.088,0.095,-0.006,0.120,0.175,0.518,0.433,0.491,0.455,0.157,-0.287,-0.110
